"price","zipcode","room_type","bedrooms","accommodates","neighbourhood_group_cleansed","availability_30","host_is_superhost","review_scores_rating","review_scores_location","TV","Elevator","cleaning_fee","property_type","minimum_nights","bathrooms"
120,"11221","Entire home/apt",1,2,"Brooklyn",7,1,96,8,"0","0",100,"House",2,1
125,"11231","Entire home/apt",1,2,"Brooklyn",0,1,96,10,"1","0",100,"Apartment",5,1
295,"10003","Entire home/apt",1,2,"Manhattan",0,0,100,10,"1","1",50,"Apartment",2,1
70,"11211","Private room",1,2,"Brooklyn",1,1,98,10,"0","0",40,"Apartment",1,1
110,"10036","Private room",1,2,"Manhattan",24,0,93,10,"0","0",10,"Apartment",1,2
70,"10033","Private room",1,2,"Manhattan",0,0,90,9,"0","0",20,"Apartment",2,1
220,"10014","Entire home/apt",1,2,"Manhattan",0,0,100,10,"1","1",0,"Apartment",5,2
50,"10301","Private room",1,2,"Staten Island",0,0,97,9,"0","0",0,"House",1,2
277,"10016","Entire home/apt",1,2,"Manhattan",8,0,94,10,"1","1",85,"Other",3,1
45,"11220","Private room",1,2,"Brooklyn",0,0,80,8,"0","0",0,"House",1,1
140,"11222","Entire home/apt",1,3,"Brooklyn",13,0,100,10,"1","0",100,"Apartment",2,1
80,"11222","Entire home/apt",0,2,"Brooklyn",0,1,98,9,"1","1",100,"Condominium",30,1
80,"11212","Private room",1,1,"Brooklyn",30,0,100,7,"1","0",50,"Apartment",7,1
220,"11207","Entire home/apt",2,6,"Brooklyn",29,0,100,10,"1","0",50,"Apartment",2,1
50,"11434","Private room",1,2,"Queens",23,0,87,9,"1","0",5,"House",5,1
75,"11212","Private room",1,2,"Brooklyn",5,0,94,9,"0","0",15,"Condominium",2,1
29,"11233","Private room",1,1,"Brooklyn",5,0,86,9,"0","0",12,"Apartment",2,1
53,"11216","Private room",1,2,"Brooklyn",20,0,78,8,"0","0",30,"Apartment",2,1
90,"11216","Private room",1,2,"Brooklyn",0,0,100,8,"1","1",0,"Apartment",3,1
125,"11231","Private room",1,2,"Brooklyn",14,0,96,10,"0","0",25,"Townhouse",2,1
275,"10003","Entire home/apt",2,6,"Manhattan",9,0,89,10,"1","0",100,"Apartment",2,1
45,"11385","Private room",1,1,"Queens",7,0,80,6,"1","0",100,"Apartment",30,2
120,"10003","Private room",1,1,"Manhattan",1,0,90,10,"0","0",80,"Apartment",7,1
50,"10458","Shared room",1,1,"Bronx",30,0,80,8,"0","0",0,"Apartment",1,1
119,"10028","Entire home/apt",1,2,"Manhattan",0,0,100,10,"1","0",0,"Apartment",3,1
85,"10025","Private room",1,2,"Manhattan",21,0,95,10,"0","0",35,"Apartment",1,2
65,"10040","Private room",1,2,"Manhattan",0,0,100,10,"1","0",15,"Other",2,1
150,"11216","Entire home/apt",2,6,"Brooklyn",4,0,96,10,"1","0",80,"Apartment",2,1
130,"10012","Private room",1,2,"Manhattan",17,0,94,10,"1","0",20,"Apartment",1,1
40,"10032","Private room",3,2,"Manhattan",14,0,98,9,"1","1",100,"Apartment",7,1
175,"10014","Entire home/apt",0,2,"Manhattan",0,0,100,10,"1","0",0,"Apartment",2,1
75,"10035","Private room",1,4,"Manhattan",30,0,100,8,"1","0",50,"Apartment",1,1
70,"11216","Entire home/apt",1,2,"Brooklyn",0,0,100,9,"0","0",25,"Apartment",2,1
249,"10011","Entire home/apt",1,2,"Manhattan",4,0,70,9,"1","1",130,"Apartment",29,1
125,"10019","Private room",1,2,"Manhattan",28,0,100,10,"1","1",40,"Apartment",7,1
99,"10037","Entire home/apt",0,2,"Manhattan",0,0,87,9,"0","1",49,"Apartment",5,1
139,"10009","Private room",1,2,"Manhattan",4,0,93,10,"1","1",75,"Apartment",2,1
115,"11211","Entire home/apt",0,3,"Brooklyn",4,0,95,10,"1","1",50,"Apartment",7,1
105,"10036","Private room",1,2,"Manhattan",24,0,87,10,"0","0",10,"Apartment",1,2
94,"11211","Private room",1,2,"Brooklyn",11,1,97,10,"0","1",50,"Apartment",2,1
61,"11222","Private room",1,2,"Brooklyn",11,0,98,10,"0","0",50,"Apartment",1,1
150,"10027","Entire home/apt",0,2,"Manhattan",0,0,100,9,"0","0",30,"Apartment",5,1
165,"10010","Entire home/apt",1,2,"Manhattan",0,0,98,10,"1","1",0,"Apartment",2,1
155,"10011","Entire home/apt",0,2,"Manhattan",0,0,93,10,"1","0",50,"Apartment",2,1
225,"10006","Entire home/apt",0,2,"Manhattan",0,1,98,10,"1","1",120,"Apartment",14,1
150,"11238","Entire home/apt",1,2,"Brooklyn",0,1,97,10,"1","1",80,"Apartment",20,1
172,"10019","Entire home/apt",1,4,"Manhattan",0,0,100,10,"1","0",0,"Apartment",4,1
90,"11211","Private room",1,2,"Brooklyn",0,1,100,10,"1","1",50,"Apartment",3,1
50,"11221","Shared room",1,1,"Brooklyn",0,0,88,9,"0","0",0,"Apartment",1,2
49,"11211","Shared room",1,1,"Brooklyn",12,0,90,9,"1","0",10,"Apartment",1,2
50,"11215","Private room",1,2,"Brooklyn",0,0,99,10,"1","0",0,"House",1,2
200,"11221","Entire home/apt",2,4,"Brooklyn",9,1,97,9,"1","0",70,"Condominium",3,1
66,"11207","Private room",1,2,"Brooklyn",0,0,80,9,"0","0",20,"Apartment",1,1
109,"11222","Private room",1,2,"Brooklyn",8,0,92,10,"1","0",40,"Apartment",2,1
150,"11217","Entire home/apt",1,2,"Brooklyn",0,0,100,10,"1","0",150,"Apartment",7,1
139,"11101","Private room",1,4,"Queens",18,0,80,10,"1","1",15,"Other",1,1
250,"11211","Entire home/apt",1,2,"Brooklyn",30,1,95,10,"1","0",120,"Loft",1,1
55,"11104","Private room",1,2,"Queens",3,0,100,10,"1","0",10,"House",1,1
24,"11216","Shared room",1,1,"Brooklyn",0,0,98,10,"0","0",25,"Apartment",5,1
175,"11215","Entire home/apt",2,4,"Brooklyn",0,0,100,10,"1","1",200,"Apartment",60,2
55,"11385","Entire home/apt",0,2,"Queens",2,0,100,8,"0","0",0,"Apartment",3,1
55,"10022","Private room",1,1,"Manhattan",3,0,93,10,"1","1",40,"Apartment",1,1
45,"11207","Private room",1,1,"Brooklyn",21,0,88,9,"1","0",75,"Apartment",30,2
28,"10451","Shared room",1,1,"Bronx",0,0,87,9,"1","0",12,"Loft",1,1
125,"10003","Entire home/apt",1,2,"Manhattan",0,0,90,10,"1","0",40,"Apartment",3,1
160,"11236","Entire home/apt",2,4,"Brooklyn",11,0,100,9,"1","0",0,"Other",2,1
38,"11237","Private room",1,1,"Brooklyn",0,0,100,6,"0","0",0,"Apartment",7,1
140,"10017","Entire home/apt",0,2,"Manhattan",0,0,90,10,"1","1",75,"Apartment",3,1
145,"11231","Entire home/apt",1,3,"Brooklyn",0,0,95,10,"1","0",60,"Apartment",5,1
215,"10014","Entire home/apt",1,3,"Manhattan",0,0,99,10,"1","0",45,"Apartment",2,1
53,"11221","Private room",1,2,"Brooklyn",0,0,84,9,"0","0",0,"Apartment",2,1
85,"10039","Private room",1,2,"Manhattan",23,0,100,10,"0","1",0,"Apartment",2,1
50,"11237","Private room",1,2,"Brooklyn",0,0,99,10,"0","0",10,"Apartment",2,1
99,"10029","Private room",1,2,"Manhattan",16,0,85,9,"0","0",99,"Apartment",4,1
399,"10036","Private room",1,3,"Manhattan",25,0,100,10,"1","1",120,"Apartment",2,1
255,"10023","Entire home/apt",1,4,"Manhattan",1,1,97,10,"1","0",25,"Apartment",2,1
150,"11237","Entire home/apt",2,6,"Brooklyn",0,0,98,10,"1","0",25,"Apartment",2,1
70,"11211","Private room",1,1,"Brooklyn",19,0,100,10,"0","0",0,"Apartment",15,1
94,"10018","Private room",1,2,"Manhattan",0,0,95,9,"1","0",40,"Apartment",2,1
69,"10037","Entire home/apt",0,1,"Manhattan",20,0,94,10,"0","0",25,"Apartment",2,1
62,"10033","Private room",1,2,"Manhattan",4,0,99,9,"0","1",10,"Apartment",3,1
66,"10025","Private room",1,2,"Manhattan",0,0,92,10,"1","0",10,"Apartment",6,1
825,"11238","Entire home/apt",3,5,"Brooklyn",18,0,100,10,"0","0",250,"House",3,4
100,"10025","Private room",1,1,"Manhattan",0,0,98,10,"1","0",40,"Apartment",2,1
84,"11211","Private room",1,2,"Brooklyn",1,0,96,10,"1","0",35,"Apartment",2,1
110,"10017","Entire home/apt",0,3,"Manhattan",5,1,98,10,"1","1",65,"Apartment",4,1
80,"11377","Private room",0,4,"Queens",19,0,80,10,"0","0",0,"Apartment",2,2
68,"10036","Private room",1,2,"Manhattan",3,0,100,10,"0","0",50,"Apartment",1,1
85,"11211","Private room",1,2,"Brooklyn",0,1,100,10,"0","0",65,"Apartment",28,2
122,"11211","Entire home/apt",2,4,"Brooklyn",5,0,92,10,"1","0",123,"Apartment",30,1
75,"11102","Private room",0,2,"Queens",0,1,96,10,"0","0",0,"Other",1,1
155,"10036","Private room",1,2,"Manhattan",3,0,98,10,"1","1",70,"Apartment",5,1
100,"10009","Private room",1,1,"Manhattan",0,1,100,10,"0","1",50,"Apartment",3,1
86,"10019","Private room",1,1,"Manhattan",20,0,89,10,"0","0",20,"Apartment",1,1
150,"10011","Entire home/apt",1,2,"Manhattan",11,0,20,2,"1","0",100,"Apartment",1,1
34,"11213","Private room",1,2,"Brooklyn",0,0,80,8,"1","0",15,"Apartment",5,2
90,"10031","Entire home/apt",1,2,"Manhattan",2,1,96,10,"0","0",0,"Townhouse",4,1
80,"10026","Private room",1,4,"Manhattan",9,0,89,9,"1","1",0,"Apartment",1,1
120,"11237","Entire home/apt",0,3,"Brooklyn",0,0,100,9,"0","0",50,"Loft",5,1
128,"11369","Entire home/apt",2,5,"Queens",16,1,95,9,"1","0",20,"Apartment",1,1
120,"11101","Entire home/apt",0,3,"Queens",0,0,100,10,"1","0",80,"Apartment",1,1
349,"10014","Entire home/apt",1,4,"Manhattan",0,0,100,10,"1","1",90,"Apartment",4,1
125,"11232","Entire home/apt",1,4,"Brooklyn",25,0,93,9,"1","0",75,"House",2,1
65,"11205","Private room",1,2,"Brooklyn",0,1,95,9,"1","0",25,"Apartment",4,1
160,"10021","Entire home/apt",0,4,"Manhattan",4,0,93,10,"1","0",75,"Apartment",5,1
140,"10454","Entire home/apt",0,4,"Bronx",30,0,97,9,"0","1",150,"Loft",30,1
42,"11421","Private room",1,1,"Queens",1,1,96,10,"0","0",12,"House",1,2
106,"11106","Entire home/apt",0,3,"Queens",0,0,100,10,"1","0",30,"Apartment",4,1
175,"11102","Private room",1,1,"Queens",0,1,100,10,"1","1",90,"Apartment",30,2
73,"11435","Shared room",1,1,"Queens",30,0,100,9,"1","1",0,"Apartment",1,1
65,"11226","Entire home/apt",1,2,"Brooklyn",0,0,100,8,"0","1",35,"Apartment",2,1
110,"11206","Private room",1,2,"Brooklyn",29,0,100,8,"1","0",0,"Loft",3,1
350,"10036","Entire home/apt",1,4,"Manhattan",23,0,93,9,"1","1",150,"Apartment",5,1
195,"11211","Entire home/apt",1,4,"Brooklyn",1,1,97,10,"1","0",0,"Loft",2,1
175,"11413","Entire home/apt",3,6,"Queens",9,1,98,10,"1","0",100,"House",2,1
195,"10011","Entire home/apt",1,3,"Manhattan",0,0,99,10,"1","1",25,"Apartment",6,1
315,"10012","Entire home/apt",1,3,"Manhattan",11,1,98,10,"1","0",175,"Apartment",2,1
67,"10016","Entire home/apt",1,2,"Manhattan",0,0,100,10,"1","0",0,"Apartment",1,1
150,"10128","Private room",1,1,"Manhattan",0,0,100,10,"0","0",0,"Apartment",1,1
41,"11217","Shared room",1,1,"Brooklyn",8,1,95,10,"1","0",7,"Apartment",2,1
40,"11414","Private room",1,2,"Queens",5,0,100,10,"1","0",0,"Apartment",1,2
99,"11236","Entire home/apt",2,6,"Brooklyn",29,0,100,6,"1","0",50,"House",2,1
75,"11105","Entire home/apt",1,3,"Queens",2,0,95,10,"1","0",5,"Apartment",1,1
50,"10032","Private room",1,2,"Manhattan",0,0,70,9,"1","0",20,"Apartment",1,1
60,"11365","Private room",1,1,"Queens",5,1,97,10,"0","0",10,"House",1,1
189,"10021","Entire home/apt",0,2,"Manhattan",0,0,100,10,"1","0",40,"Apartment",2,1
265,"10012","Entire home/apt",1,2,"Manhattan",0,0,95,10,"1","0",80,"Loft",2,1
75,"11373","Private room",1,2,"Queens",17,0,100,8,"1","0",15,"Apartment",1,1
80,"11411","Private room",2,3,"Queens",5,0,96,10,"1","0",80,"House",5,1
59,"10026","Private room",1,2,"Manhattan",26,0,100,10,"1","1",0,"House",30,2
124,"11211","Private room",1,2,"Brooklyn",0,0,96,10,"1","1",30,"Apartment",1,1
130,"11216","Entire home/apt",1,2,"Brooklyn",3,1,98,9,"1","0",40,"Apartment",2,1
274,"10021","Entire home/apt",1,1,"Manhattan",30,0,90,9,"1","0",11,"Apartment",1,1
70,"11221","Private room",1,2,"Brooklyn",4,1,100,10,"1","0",50,"Loft",4,1
150,"11232","Private room",1,1,"Brooklyn",30,0,97,10,"0","0",55,"Apartment",2,1
100,"10017","Private room",1,1,"Manhattan",0,0,93,9,"1","1",0,"Apartment",1,1
86,"11206","Private room",1,3,"Brooklyn",16,0,88,10,"0","0",25,"Apartment",2,2
150,"11216","Entire home/apt",1,2,"Brooklyn",16,0,100,10,"0","0",0,"Apartment",5,1
114,"11211","Entire home/apt",1,3,"Brooklyn",0,0,100,10,"0","0",10,"Apartment",6,1
249,"11104","Entire home/apt",2,5,"Queens",30,0,87,10,"1","0",0,"Apartment",1,1
107,"11101","Entire home/apt",2,5,"Queens",0,0,94,10,"1","0",100,"Apartment",30,1
261,"11238","Entire home/apt",3,8,"Brooklyn",0,0,96,9,"1","0",120,"Apartment",1,2
40,"11221","Private room",0,2,"Brooklyn",0,0,83,9,"0","0",25,"Apartment",3,1
70,"11211","Private room",1,2,"Brooklyn",3,1,93,10,"0","0",25,"Apartment",3,2
35,"11225","Entire home/apt",1,3,"Brooklyn",11,0,96,9,"0","0",45,"Apartment",3,1
225,"11377","Entire home/apt",2,5,"Queens",13,0,100,10,"1","0",60,"Apartment",2,1
199,"10009","Entire home/apt",2,4,"Manhattan",0,0,100,8,"1","0",60,"Apartment",2,1
250,"10019","Entire home/apt",2,4,"Manhattan",13,1,94,10,"1","0",95,"Apartment",3,1
37,"11221","Private room",1,1,"Brooklyn",0,0,100,10,"0","0",20,"Apartment",2,1
232,"10005","Entire home/apt",1,4,"Manhattan",9,1,100,10,"1","1",75,"Apartment",2,1
100,"11106","Entire home/apt",3,6,"Queens",0,0,70,10,"1","0",0,"Apartment",1,1
100,"11222","Private room",1,3,"Brooklyn",0,0,88,9,"1","0",15,"Loft",2,1
90,"10032","Private room",1,2,"Manhattan",2,0,100,10,"0","0",20,"Apartment",1,2
272,"10016","Entire home/apt",0,2,"Manhattan",15,1,91,9,"1","1",120,"Apartment",2,1
135,"10030","Entire home/apt",3,6,"Manhattan",1,1,98,10,"1","0",160,"Apartment",2,1
100,"10021","Private room",1,2,"Manhattan",0,0,100,10,"1","0",30,"Apartment",1,1
140,"10035","Private room",1,2,"Manhattan",27,0,100,10,"1","0",150,"Apartment",1,1
200,"10031","Entire home/apt",2,6,"Manhattan",20,0,93,10,"1","0",80,"Townhouse",2,2
140,"10011","Entire home/apt",1,2,"Manhattan",0,0,96,10,"0","0",75,"Apartment",1,1
75,"11692","Private room",1,2,"Queens",23,0,100,10,"0","0",15,"Townhouse",2,1
180,"11211","Entire home/apt",1,3,"Brooklyn",2,0,100,10,"1","0",75,"Apartment",1,1
200,"11206","Entire home/apt",2,5,"Brooklyn",0,0,100,10,"1","0",0,"Apartment",1,1
50,"11416","Private room",1,1,"Queens",30,0,100,10,"0","0",0,"House",1,1
100,"11213","Private room",1,2,"Brooklyn",10,0,100,10,"1","0",0,"Townhouse",5,1
105,"10026","Entire home/apt",1,2,"Manhattan",0,0,100,9,"1","0",75,"Apartment",14,1
145,"10012","Entire home/apt",1,2,"Manhattan",0,0,98,10,"1","1",60,"Apartment",5,1
35,"11434","Private room",1,2,"Queens",15,1,99,10,"1","0",20,"Apartment",1,1
80,"11221","Private room",1,1,"Brooklyn",0,0,100,10,"0","1",80,"Apartment",1,1
87,"10025","Private room",1,3,"Manhattan",10,0,100,10,"0","1",50,"Apartment",1,1
99,"11216","Entire home/apt",1,3,"Brooklyn",0,0,95,9,"1","0",150,"Apartment",2,1
37,"11221","Private room",1,2,"Brooklyn",0,0,83,9,"0","0",0,"Townhouse",7,2
250,"11217","Entire home/apt",2,4,"Brooklyn",0,0,99,10,"1","0",250,"Apartment",7,3
80,"11692","Private room",1,1,"Queens",29,0,93,10,"0","0",5,"House",1,2
235,"11216","Entire home/apt",2,4,"Brooklyn",0,0,100,10,"0","0",50,"Apartment",3,2
69,"10002","Private room",1,1,"Manhattan",0,0,100,10,"1","0",25,"Apartment",4,1
95,"10026","Private room",1,2,"Manhattan",15,1,99,10,"1","1",60,"Apartment",2,1
105,"11358","Entire home/apt",1,4,"Queens",5,1,93,9,"1","0",100,"Apartment",3,1
500,"10023","Entire home/apt",3,7,"Manhattan",0,0,100,10,"1","1",20,"Apartment",5,2
80,"11236","Private room",1,2,"Brooklyn",5,0,100,10,"1","0",80,"House",3,1
62,"11211","Private room",1,1,"Brooklyn",1,1,99,10,"0","0",40,"Apartment",3,1
220,"10036","Private room",1,2,"Manhattan",26,0,98,10,"1","1",60,"Apartment",1,1
75,"11209","Entire home/apt",1,2,"Brooklyn",4,0,100,10,"0","1",0,"Apartment",30,1
250,"11216","Entire home/apt",1,4,"Brooklyn",0,0,100,10,"1","0",0,"Townhouse",1,1
45,"11385","Private room",1,2,"Queens",0,0,93,10,"0","0",65,"Apartment",3,1
140,"10025","Entire home/apt",0,2,"Manhattan",0,0,93,10,"0","1",0,"Apartment",5,1
120,"11207","Private room",1,1,"Brooklyn",30,0,80,9,"1","0",0,"Apartment",1,1
59,"11233","Private room",1,3,"Brooklyn",22,0,100,9,"1","0",49,"Apartment",1,1
300,"11201","Entire home/apt",2,5,"Brooklyn",6,1,100,10,"1","0",180,"Apartment",29,1
175,"10030","Entire home/apt",1,4,"Manhattan",11,1,97,9,"1","0",130,"Townhouse",2,1
145,"11231","Entire home/apt",3,4,"Brooklyn",9,0,86,9,"1","0",100,"Loft",1,1
895,"10001","Entire home/apt",5,10,"Manhattan",14,0,86,10,"1","1",199,"Apartment",3,2
130,"11221","Entire home/apt",1,5,"Brooklyn",0,0,94,9,"1","0",60,"Other",4,1
300,"10013","Entire home/apt",0,4,"Manhattan",22,0,60,10,"1","0",150,"Loft",3,1
125,"11226","Entire home/apt",1,4,"Brooklyn",10,1,95,9,"1","1",80,"Apartment",2,1
69,"10031","Private room",1,2,"Manhattan",25,0,92,10,"1","0",25,"Apartment",3,1
55,"10453","Private room",1,1,"Bronx",0,0,100,10,"0","0",10,"House",1,2
265,"11206","Entire home/apt",1,2,"Brooklyn",29,0,95,10,"1","0",35,"Apartment",2,1
170,"11217","Entire home/apt",0,2,"Brooklyn",0,0,98,10,"1","1",80,"Apartment",2,1
200,"10010","Entire home/apt",1,3,"Manhattan",23,0,100,10,"1","1",175,"Apartment",3,1
115,"10036","Private room",1,2,"Manhattan",17,0,89,10,"0","0",10,"Apartment",1,2
180,"10011","Entire home/apt",0,2,"Manhattan",0,0,86,10,"1","1",120,"Apartment",3,1
100,"","Entire home/apt",1,4,"Brooklyn",8,1,97,9,"1","0",60,"Apartment",4,1
75,"11237","Private room",1,2,"Brooklyn",8,0,100,10,"0","0",0,"Loft",3,1
100,"11233","Entire home/apt",0,2,"Brooklyn",14,0,93,9,"1","0",50,"Apartment",2,1
90,"11226","Private room",1,2,"Brooklyn",30,0,94,9,"1","0",0,"House",2,1
83,"10016","Entire home/apt",1,2,"Manhattan",5,0,80,10,"1","1",0,"Apartment",30,1
70,"11106","Private room",1,2,"Queens",14,1,98,10,"1","0",30,"Apartment",3,1
84,"10011","Private room",1,2,"Manhattan",13,0,96,10,"1","0",65,"Apartment",2,1
50,"10467","Private room",0,2,"Bronx",4,0,90,10,"1","1",25,"Apartment",1,1
50,"11355","Private room",1,2,"Queens",5,0,90,10,"0","0",0,"Apartment",1,1
50,"10033","Private room",1,2,"Manhattan",11,0,100,10,"1","1",0,"Apartment",1,1
55,"11221","Private room",1,1,"Brooklyn",13,0,100,10,"1","0",25,"Apartment",2,1
140,"10036","Private room",1,4,"Manhattan",12,0,90,9,"1","1",160,"Condominium",2,2
300,"11434","Entire home/apt",3,6,"Queens",4,1,99,10,"1","0",75,"House",1,2
220,"10005","Entire home/apt",1,3,"Manhattan",4,0,100,10,"1","1",100,"Apartment",1,1
70,"10026","Private room",1,2,"Manhattan",0,0,89,9,"0","0",30,"Apartment",2,1
60,"10467","Private room",1,2,"Bronx",17,1,98,10,"1","0",30,"House",1,1
60,"11369","Private room",1,2,"Queens",16,0,94,10,"1","0",10,"Apartment",1,2
120,"10016","Private room",1,2,"Manhattan",0,1,98,10,"0","0",50,"Apartment",7,1
110,"10003","Private room",1,2,"Manhattan",9,0,100,10,"1","0",25,"Apartment",1,1
75,"10032","Entire home/apt",0,2,"Manhattan",0,0,100,9,"0","1",50,"Apartment",3,1
130,"11211","Entire home/apt",1,2,"Brooklyn",0,0,100,10,"0","0",50,"Apartment",10,1
120,"11215","Entire home/apt",1,3,"Brooklyn",0,0,99,10,"1","0",100,"Apartment",4,1
66,"11218","Private room",1,1,"Brooklyn",0,0,100,10,"1","1",0,"Apartment",1,1
55,"11216","Private room",1,2,"Brooklyn",0,1,95,9,"1","0",15,"Apartment",3,1
121,"11217","Entire home/apt",1,2,"Brooklyn",0,0,90,10,"1","0",40,"Apartment",2,1
105,"10011","Entire home/apt",1,3,"Manhattan",12,0,100,10,"0","0",59,"Apartment",9,1
35,"11218","Private room",1,2,"Brooklyn",0,0,83,10,"0","0",0,"Apartment",1,1
265,"11238","Entire home/apt",2,4,"Brooklyn",0,1,99,10,"1","0",195,"Apartment",4,2
70,"11213","Private room",1,2,"Brooklyn",0,0,100,9,"1","0",0,"Apartment",1,1
65,"11212","Entire home/apt",2,4,"Brooklyn",0,0,93,8,"1","0",85,"Apartment",2,1
85,"10019","Shared room",1,2,"Manhattan",30,0,100,10,"1","1",5,"Apartment",1,2
70,"11385","Private room",1,5,"Queens",29,1,100,10,"1","0",60,"Apartment",1,2
189,"10023","Entire home/apt",1,3,"Manhattan",9,0,95,10,"0","0",80,"Apartment",2,1
33,"11220","Private room",1,1,"Brooklyn",7,0,84,9,"0","0",15,"House",1,1
159,"10028","Private room",1,2,"Manhattan",19,0,97,10,"1","0",50,"Apartment",1,1
55,"10040","Entire home/apt",1,2,"Manhattan",0,1,91,9,"1","1",10,"Apartment",2,1
130,"11221","Private room",1,2,"Brooklyn",6,0,100,10,"1","0",25,"Other",2,1
69,"10301","Private room",2,6,"Staten Island",0,0,95,9,"1","0",45,"House",2,1
91,"10003","Private room",1,1,"Manhattan",0,0,93,10,"1","0",45,"Apartment",4,1
319,"11211","Entire home/apt",2,4,"Brooklyn",10,0,98,10,"1","1",95,"Apartment",2,2
160,"11216","Entire home/apt",2,5,"Brooklyn",8,0,94,10,"1","0",75,"Apartment",2,1
47,"11226","Private room",1,1,"Brooklyn",0,1,100,10,"0","1",0,"Apartment",2,1
47,"11211","Private room",1,1,"Brooklyn",0,0,90,8,"0","0",0,"Apartment",7,1
180,"10003","Entire home/apt",0,2,"Manhattan",12,0,100,10,"1","0",60,"Apartment",5,1
38,"11373","Private room",1,1,"Queens",30,0,96,10,"0","0",6,"Apartment",1,1
159,"10012","Entire home/apt",1,2,"Manhattan",3,0,95,10,"1","0",15,"Apartment",2,1
220,"11217","Entire home/apt",1,4,"Brooklyn",0,1,97,10,"1","0",100,"Apartment",2,1
89,"10002","Private room",1,1,"Manhattan",16,1,97,10,"1","0",15,"Apartment",1,1
40,"11237","Private room",1,1,"Brooklyn",0,0,100,10,"0","0",50,"Other",1,1
70,"11101","Private room",1,1,"Queens",0,0,88,10,"0","0",25,"Apartment",2,1
55,"11220","Private room",1,2,"Brooklyn",0,1,94,9,"1","0",30,"Apartment",7,1
99,"11216","Entire home/apt",1,3,"Brooklyn",17,0,95,9,"0","0",20,"Apartment",2,1
194,"10029","Entire home/apt",2,3,"Manhattan",30,0,88,10,"1","0",100,"Apartment",1,1
59,"10027","Private room",1,2,"Manhattan",16,0,98,10,"1","0",60,"Apartment",4,1
130,"10019","Entire home/apt",1,2,"Manhattan",0,0,100,10,"1","0",0,"Apartment",1,1
500,"11238","Entire home/apt",0,6,"Brooklyn",29,1,98,10,"0","1",200,"Loft",3,1
125,"11222","Entire home/apt",3,6,"Brooklyn",5,0,95,10,"1","0",180,"Apartment",5,1
104,"10029","Entire home/apt",2,3,"Manhattan",9,0,100,10,"1","1",100,"Condominium",30,1
65,"11233","Private room",1,1,"Brooklyn",3,0,87,9,"0","0",28,"Apartment",5,2
300,"11211","Entire home/apt",1,4,"Brooklyn",4,0,90,10,"1","0",30,"Apartment",2,1
100,"10003","Entire home/apt",1,3,"Manhattan",0,0,80,10,"1","0",100,"Apartment",3,1
50,"10032","Private room",1,2,"Manhattan",0,0,96,10,"1","1",50,"Apartment",2,1
70,"10031","Private room",1,2,"Manhattan",0,0,97,10,"1","1",10,"Apartment",1,2
500,"10002","Entire home/apt",3,6,"Manhattan",10,0,100,8,"1","0",125,"Apartment",3,2
110,"10001","Private room",1,2,"Manhattan",15,0,92,10,"1","0",25,"Apartment",1,2
95,"11233","Entire home/apt",1,2,"Brooklyn",0,1,99,9,"1","0",90,"Apartment",4,1
250,"10010","Entire home/apt",1,4,"Manhattan",0,0,100,10,"1","1",100,"Apartment",3,1
179,"11222","Private room",1,2,"Brooklyn",26,0,96,8,"1","0",0,"Other",3,1
64,"10025","Private room",1,2,"Manhattan",0,0,80,10,"1","1",0,"Apartment",2,1
